id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_7084263,Care dintre aceste condiții este cea mai probabilă ca rezultat al unei infecții?,B,amorțeală în degete,umflarea țesuturilor din gât,nivele ridicate ale zahărului din sânge,obstrucționarea vaselor de sânge din picior,
ARC-Challenge/train/MDSA_2007_5_50,"În Maryland, cărbunele și copacii sunt resurse găsite. Ambele resurse sunt utilizate pentru",D,construirea caselor,fabricarea creioanelor,fabricarea hârtiei,producerea căldurii,
ARC-Challenge/train/Mercury_7115360,Care eveniment modifică cel mai mult un ecosistem într-o singură zi?,D,descompunere,succesiune,secetă,incendiu de pădure,
ARC-Challenge/train/ACTAAP_2015_7_2,Un reflex poate proteja corpul de rău. Ce sisteme de organe lucrează împreună pentru a produce un reflex?,B,sistemele circulator și imunitar,sistemele nervos și muscular,sistemele nervos și imunitar,sistemele circulator și muscular,
ARC-Challenge/train/NYSEDREGENTS_2006_8_6,Prognozele meteo sunt mai precise astăzi decât în trecut datorită,D,tectonică plăcilor,controlului calității aerului,încălzirii globale,utilizării imaginilor din spațiu,
ARC-Challenge/train/MEA_2014_5_13,Care este sursa de hrană și creștere pentru ciuperci?,A,minerale din sol,răsărit de soare,organisme în putrefacție,apă în sol,
ARC-Challenge/train/NYSEDREGENTS_2004_4_8,"Bazați-vă răspunsurile pe informațiile de mai jos. Într-o zi fierbinte de vară a plouat foarte tare. După ploaie, o tigaie de plastic amplasată pe o masă de picnic avea 2 cm de apă de ploaie în ea. Patru ore mai târziu, toată apa de ploaie din tigaie dispăruse. Dacă ziua ar fi fost rece în loc de fierbinte, apa de ploaie din tigaie ar fi dispărut",A,în aceeași perioadă de timp,mai repede,mai încet,,
ARC-Challenge/train/NCEOGA_2013_5_57,Care dintre urmatoarele explica cel mai bine de ce copiii seamana cu parintii lor?,B,Vorbesc aceeasi limba.,Au ADN similar.,Mananca aceleasi alimente.,Au aceleasi interese.,
ARC-Challenge/train/Mercury_178763,Într-o tigaie se încălzește o supă pe o plită electrică. O lingură din metal este folosită pentru a amesteca ocazional supa. Care dintre următoarele opţiuni este un exemplu de transfer de căldură prin convecţie?,B,încălzirea lingurii,încălzirea supei,încălzirea tigăii,încălzirea plitei,
ARC-Challenge/train/LEAP_2006_4_10274,Della are o amestec de sol și apă într-un borcan. Care dintre următoarele instrumente ar ajuta cel mai bine la separarea solului de apă?,A,o balanță,o cană de măsurare,un filtru,o lupă,
ARC-Challenge/train/Mercury_7024220,"Într-o serie de reacții chimice, X→Y→Z→A, X se convertește în Y, Y se convertește în Z, iar Z se convertește în A. Ce termen descrie procesul dacă producția de A interferează cu conversia X în Y?",C,feedback negativ,un sistem de control,o răspuns complementar,feedback pozitiv,
ARC-Challenge/train/Mercury_7077700,"Dacă o carte aflată pe o masă plată începe să se miște orizontal, cel mai probabil se mișcă deoarece",C,este aplicată o forță neechilibrată.,este exercitată o forță de frecare.,este aplicată o forță echilibrată.,este exercitată o forță gravitațională.,
ARC-Challenge/train/Mercury_SC_400200,La ce temperatură este cel mai probabil ca apa să fie în forma de vapori?,D,90°C,20°C,-10°C,120°C,
ARC-Challenge/train/Mercury_SC_401004,Ce a permis lui Galileo în secolul al XVII-lea să vadă sateliții lui Jupiter?,C,El a inventat instrumente avansate pentru a privi cerul.,El a realizat că toate planetele orbitează în jurul Soarelui.,Jupiter s-a apropiat de Pământ în timpul vieții sale.,Oamenii de știință mai vechi nu au arătat interes pentru cer.,
ARC-Challenge/train/TIMSS_2007_8_pg7,Care dintre următoarele afirmații este adevărată în ceea ce privește particulele unui lichid comparativ cu particulele unui gaz?,C,Particulele unui lichid se mișcă mai lent și sunt mai apropiate unele de celelalte.,Particulele unui lichid se mișcă mai rapid și sunt mai departe una de cealaltă.,Particulele unui lichid se mișcă mai lent și sunt mai distanțate unele de celelalte.,Particulele unui lichid se mișcă mai rapid și sunt mai apropiate unele de celelalte.,
ARC-Challenge/train/MCAS_1998_8_8,"Multe unelte de mână obișnuite creează un avantaj mecanic prin utilizarea principiilor de bază găsite în mașini simple. De exemplu, un șurubelniţă folosește principiile roții și osiei. Pentru a crește forța de prindere, cleștii folosesc principiul demonstrat în",B,pană.,parghie.,șurubelniță.,șurub.,
ARC-Challenge/train/Mercury_7094238,Ce invenție ar dezvolta cel mai probabil o cultură care trăiește deasupra Cercului Arctic?,C,îmbrăcăminte izolată,aer condiționat,producția de gheață,canale de irigații,
ARC-Challenge/train/Mercury_SC_406721,Care este cea mai probabilă caracteristică a unei păsări care ajută la obținerea hranei găsite în locuri mici?,D,pene moi,corp mare,picioare palmate,cioc subțire,
ARC-Challenge/train/Mercury_7141558,Un inginer trebuie să calculeze energia potențială a unei mașini de vânzare de la vârful unei pante. Care informație ar ajuta cel mai bine inginerul să determine energia potențială a mașinii?,B,greutatea medie a unei mașini de vânzare goale,masa mașinii de vânzare la capacitate maximă,distanta pe care mașina de vânzare o trebuie să parcurgă,direcția în care se deplasează mașina de vânzare,
ARC-Challenge/train/NCEOGA_2013_8_59,Care aliment furnizează cea mai mare cantitate de energie corpului în cel mai scurt timp?,D,lapte,carne,cartof,fruct,
ARC-Challenge/train/MCAS_2006_9_35-v1,Care este frecvența undelor oceanice care au o viteză de 18 m/s și o lungime de undă de 50 m?,B,"2,8 Hz","0,36 Hz","0,18 Hz","9,0 Hz",
ARC-Challenge/train/MEA_2016_8_1,O vulpe a dat naștere unui pui care avea un simț al auzului mai bun decât majoritatea vulpilor. Cum ar putea această mică schimbare să ducă cel mai probabil la descendenți diferiți de vulpea originală?,C,"În timp, descendenții acestui pui de vulpe ar putea auzi și vâna prada mai bine decât alte vulpi.",Vulpile care au un simț al auzului mai bun ar putea fi vânate mai frecvent.,Vulpile care au un simț al auzului mai bun ar putea suferi mai frecvent mutații decât celelalte vulpi.,"În timp, descendenții acestui pui de vulpe ar putea să devină dispăruți.",
ARC-Challenge/train/Mercury_7186480,"Detergenții pentru spălarea rufelor erau fabricați cândva cu concentrații mari de compuși de fosfor. Când apele uzate conținând acești compuși ajungeau în lacuri, fosforul devenea un nutrient pentru alge. Odată cu creșterea populațiilor de alge din lacuri, succesiunea era accelerată. Pe termen lung, ca urmare a fosforului din detergent, ce ar deveni un lac?",C,mlaștină,desert,canyon,râu,
ARC-Challenge/train/Mercury_7163258,"La cerbii cu coadă albă, femelele rareori cresc coarne. Care dintre următoarele explică cel mai bine de ce cerbii cu coadă albă de sex masculin cresc coarne, dar femelele rareori cresc coarne?",C,Cresterea coarnelor este controlata de gene.,Cerbi de sex masculin sunt mai în vârstă decât cerbi de sex feminin.,Cerbiile de sex feminin nu au nevoie de coarne.,Cresterea coarnelor depinde de comportament.,
ARC-Challenge/train/Mercury_414133,Care dintre acestea nu este niciodată găsit în celulele procariote?,D,perete celular,ribosom,membrana celulară,nucleu,
ARC-Challenge/train/MEA_2016_8_14,Care afirmație compară cel mai bine organismele cu celulă unică și cele multicelulare?,C,Organele din organismele cu celulă unică sunt la fel ca organele din organismele multicelulare.,Nucleul din organismele cu celulă unică este ca pielea organismelor multicelulare.,Țesuturile din organismele cu celulă unică sunt la fel ca celulele din organismele multicelulare.,Citoplasma din organismele cu celulă unică este ca sistemul nervos din organismele multicelulare.,
ARC-Challenge/train/Mercury_SC_416461,O clasă modelează diferențele dintre un organism unicelular și un organism pluricelular. Care dintre următoarele exemple este un model de organism unicelular?,B,doi elevi care colectează gunoi de la un grup,un elev care ia cereale din dulap,un elev care servește apă unui grup,patru elevi care lucrează împreună pentru a muta o masă,
ARC-Challenge/train/Mercury_7159093,O femelă de oposum poate naște între 5-15 pui. Ce crește odată cu o cuib mai mare?,D,cantitatea de îngrijire maternală pe pui,numărul surselor de hrană fiabile,rata la care se maturizează puii,probabilitatea ca unii să supraviețuiască și să se reproduca,
ARC-Challenge/train/Mercury_412782,Care dintre mostrele de apă descrise mai jos are cea mai mare energie cinetică medie pe moleculă?,C,1 litru de apă la o temperatură de 75°C,10 litri de gheață la o temperatură de -75°C,1 litru de gheață la o temperatură de -50°C,10 litri de apă la o temperatură de 50°C,
ARC-Challenge/train/MCAS_2000_4_17,Care este un exemplu de produs realizat de oameni?,A,grâu,roșie,prăjitură,cărbune,
ARC-Challenge/train/Mercury_7027178,"Un combustibil petrolier este anunțat ca ""emisie mai mică de poluanți"" când este folosit în mașini. Pentru ca această afirmație să fie precisă, cea mai probabilă întâmplare care i s-a produs combustibilului petrolier este că:",C,Impuritățile au fost eliminate.,S-a dizolvat mai mult oxigen în el.,Aciditatea sa a crescut.,Moleculele sale au o energie chimică mai mare.,
ARC-Challenge/train/Mercury_7103460,Cu ce condiție sunt asociate cele mai multe fronturi calde?,D,coliziuni violente ale maselor de aer,temperaturi scăzute,formarea tornadelor,formarea norilor ce aduc precipitații,
ARC-Challenge/train/Mercury_7056613,"Când un motor de mașină este pornit, benzină este amestecată cu aer și arsă. Sunt eliberate căldură, sunet și produse chimice. Pe măsură ce motorul funcționează, care dintre acestea rămâne constant?",D,masa totală a benzinei,cantitatea de căldură din motor,masele compușilor găsiți în motor,cantitatea totală de energie,
ARC-Challenge/train/Mercury_7207165,"Cercetătorii lucrează în echipe pentru a face mașinile mai eficiente în consumul de combustibil. Care dintre aceste afirmații descrie cel mai bine avantajul principal de a lucra în echipe, în loc să lucrați individual?",C,Cercetătorii își pot împărtăși ideile.,Cercetarea costă mai puțin pentru a fi realizată.,Cercetarea are mai multe șanse să fie publicată.,Cercetătorii au mai mult timp pentru a finaliza lucrarea.,
ARC-Challenge/train/Mercury_7199150,"După un meci de fotbal, Brittany a şezut sub un ventilator deoarece îi era cald. Sub ventilator, s-a simţit mai răcoroasă decât înainte. Care dintre următoarele explica cel mai bine de ce Brittany s-a simţit mai răcoroasă sub ventilator?",B,Vaporii de apă de la ventilator se condensează pe piele.,Evaporarea transpiraţiei absoarbe căldură din piele.,Aerul care se mişcă sub ventilator este mai răcoros decât aerul care stă în loc.,Ventilatorul accelerează curentele de convecţie în aer.,
ARC-Challenge/train/Mercury_7239470,Care dintre următoarele este o funcție a neuronilor motori din sistemul nervos?,D,de a transmite mesaje de la creier la corp,de a colecta informații despre stimuli,de a aplica direct forță asupra sistemului scheletic,de a controla direct acțiunea mușchilor,
ARC-Challenge/train/Mercury_7210578,Care dintre acestea se găsește doar în afara sistemului solar?,C,nebuloase,luni,planete,comete,
ARC-Challenge/train/Mercury_414091,Care este cel mai comun element găsit în compușii care alcătuiesc apa oceanului?,B,carbon,oxigen,azot,siliciu,
ARC-Challenge/train/Mercury_403967,"Dacă se toarnă 100 de grame de oțet și 5 grame de bicarbonat de sodiu într-un recipient, se va produce o mică cantitate de gaz. Care va fi masa finală a produselor dacă gazul este capturat în recipient?",C,105 grame,104 grame,100 grame,110 grame,
ARC-Challenge/train/Mercury_7064243,"Paleontologii construiesc un model al unui dinozaur din oasele și dinții săi fosili. Oasele și dinții fosili pot ajuta paleontologii să deducă tot ceea ce urmează despre dinozaur, cu excepția",D,lungimea dinozaurului.,tipul de hrană pe care a mâncat-o dinozaurul.,înălțimea dinozaurului.,culoarea pielii dinozaurului.,
ARC-Challenge/train/Mercury_SC_401281,O viespe folosește venin într-un ac pentru a,B,construi un cuib.,se apăra.,produce ouă.,atrage un partener de împerechere.,
ARC-Challenge/train/MDSA_2007_8_16,Oamenii de știință efectuează experimente pentru a testa ipotezele. Cum încearcă oamenii de știință să rămână obiectivi în timpul experimentelor?,A,Oamenii de știință efectuează experimente o singură dată.,Oamenii de știință folosesc precauții de siguranță.,Oamenii de știință analizează toate rezultatele.,Oamenii de știință modifică cel puțin două variabile.,
ARC-Challenge/train/Mercury_7234465,Prezența temperaturilor ridicate în timpul formării combustibililor fosili duce la o pondere mai mare a cărui produs?,D,țiței,cărbune,gudron,gaz natural,
ARC-Challenge/train/Mercury_SC_406987,Care este cea mai bună explicație care descrie cum sunt asemănătoare majoritatea solurilor?,B,Majoritatea solurilor rețin aceeași cantitate de apă.,Majoritatea solurilor sunt găsite în straturi.,Majoritatea solurilor au multe pietre.,Majoritatea solurilor au aceeași textură.,
